approach,cpu,batchsize,true_negative,false_negative,true_positive,false_positive,precision,recall,accuracy,f1_score,outlier_threshold,wallclock_time_seconds
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,40,485,1,2,16,0.1111111111111111,0.6666666666666666,0.9662698412698413,0.1904761904761905,-129.79505004882813,5.45
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,47,485,1,2,16,0.1111111111111111,0.6666666666666666,0.9662698412698413,0.1904761904761905,-131.1508575439453,51.88
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,86,482,3,0,19,0.0,0.0,0.9563492063492064,0.0,-135.85237579345704,32.32
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,192,479,3,0,22,0.0,0.0,0.9503968253968254,0.0,-142.54876708984375,16.55
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,241,479,3,0,22,0.0,0.0,0.9503968253968254,0.0,-134.27377319335938,35.73
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,101,482,3,0,19,0.0,0.0,0.9563492063492064,0.0,-137.55921936035156,26.66
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,74,483,3,0,18,0.0,0.0,0.9583333333333334,0.0,-134.66079711914062,34.82
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,204,478,3,0,23,0.0,0.0,0.9484126984126984,0.0,-142.0436248779297,17.09
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,164,489,2,1,12,0.07692307692307693,0.3333333333333333,0.9722222222222222,0.125,-131.15057373046875,16.89
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,210,478,3,0,23,0.0,0.0,0.9484126984126984,0.0,-141.4599609375,17.71
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,221,478,3,0,23,0.0,0.0,0.9484126984126984,0.0,-140.19326782226562,41.27
