approach,cpu,hidden_units,true_negative,false_negative,true_positive,false_positive,precision,recall,accuracy,f1_score,outlier_threshold,wallclock_time_seconds
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,322,478,0,3,23,0.11538461538461539,1.0,0.9543650793650794,0.20689655172413793,-172.5042112131011,4655.44
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,624,475,1,2,26,0.07142857142857142,0.6666666666666666,0.9464285714285714,0.12903225806451613,-343.3508043774547,10496.85
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,360,473,0,3,28,0.0967741935483871,1.0,0.9444444444444444,0.17647058823529413,-182.10097978135923,5136.14
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,202,470,0,3,31,0.08823529411764706,1.0,0.9384920634920635,0.1621621621621622,-100.59839478852956,2424.36
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,119,469,0,3,32,0.08571428571428572,1.0,0.9365079365079365,0.15789473684210528,-62.451700742019554,1449.93
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,220,472,0,3,29,0.09375,1.0,0.9424603174603174,0.17142857142857143,-112.01842146730186,3190.07
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,424,481,1,2,20,0.09090909090909091,0.6666666666666666,0.9583333333333334,0.16,-225.41810030562257,5192.79
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,218,476,0,3,25,0.10714285714285714,1.0,0.9503968253968254,0.19354838709677416,-113.80910757251175,3197.71
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,186,479,0,3,22,0.12,1.0,0.9563492063492064,0.21428571428571425,-88.0747749400828,2198.14
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,61,480,0,3,21,0.125,1.0,0.9583333333333334,0.2222222222222222,-26.96866661439514,803.55
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,18,471,1,2,30,0.0625,0.6666666666666666,0.9384920634920635,0.11428571428571428,-2.134613008116843,338.00
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,65,477,1,2,24,0.07692307692307693,0.6666666666666666,0.9503968253968254,0.13793103448275862,-25.8229325495493,844.73
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,359,482,0,3,19,0.13636363636363635,1.0,0.9623015873015873,0.24000000000000002,-181.7061501852925,5185.69
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,36,478,1,2,23,0.08,0.6666666666666666,0.9523809523809523,0.14285714285714285,-14.520123217981222,516.62
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,10,479,3,0,22,0.0,0.0,0.9503968253968254,0.0,3.4422116626536194,234.33
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,605,471,1,2,30,0.0625,0.6666666666666666,0.9384920634920635,0.11428571428571428,-326.05678135649134,10187.21
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,416,471,2,1,30,0.03225806451612903,0.3333333333333333,0.9365079365079365,0.0588235294117647,-206.96941761515433,5072.49
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,556,469,2,1,32,0.030303030303030304,0.3333333333333333,0.9325396825396826,0.05555555555555555,-291.23743312296375,9556.36
